 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
450,46.852695,6.4299483,3.3333333,1.388889,0.12075537
451,47.431446,6.337254,3.3333333,1.388889,0.12075537
452,48.034363,6.2099814,3.3333333,1.3722223,0.10537457
453,26.28984,6.742791,2.625,1.3625002,0.1520442
454,26.35739,6.835989,2.625,1.3291667,0.07847397
455,26.67262,6.892619,2.625,1.3291667,0.07847397
456,27.279106,6.791665,2.625,1.3291667,0.07847397
457,27.763271,6.6363716,2.625,1.3291667,0.07847397
458,21.874067,2.2045043,2.2222223,1.1925926,0.071661
459,22.361012,2.164555,2.2222223,1.1592593,0.03207502
460,23.960146,1.9285336,2.2,1.0899999,0.091961525
461,24.243458,1.9131975,2.2,1.13,0.05196153
462,29.05527,3.2299435,2.625,1.1500001,0.10550244
463,29.988638,3.1198592,2.5555556,1.2407408,0.12652726
464,30.123667,3.3999605,2.5555556,1.2925926,0.06975464
465,30.48356,3.718884,2.5555556,1.3296297,0.08348873
466,28.304369,3.8958256,2.5,1.3666667,0.06597397
467,27.371124,4.331087,2.5714285,1.4190476,0.07539882
468,27.457033,4.2533727,2.5714285,1.4476191,0.06274142
469,32.00826,7.8380594,2.857143,1.4619048,0.13070628
470,30.990974,8.8760805,3,1.6555556,0.09158492
471,32.14847,8.3278,3,1.5666667,0.1829141
472,31.18289,9.79663,3.1666667,1.7722222,0.13104701
473,29.293024,10.278429,3,1.6999999,0.14002585
474,28.539831,10.03198,3,1.6555556,0.09158492
475,27.862658,9.751554,3,1.6555556,0.09158492
476,31.709993,11.6535845,3.1666667,1.7333335,0.17015235
477,31.050583,11.3165045,3.1666667,1.7555556,0.13872537
