 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est,
442,32.11214,9.915185,2.857143,1.2547618,0.11983257,
443,31.759563,10.1353445,2.857143,1.2619047,0.12710492,
444,31.43538,10.264964,2.857143,1.2619047,0.12710492,
445,27.984516,7.782879,2.7142856,1.2380952,0.09343318,
446,27.164732,8.066336,2.7142856,1.2380952,0.09343318,
447,27.539574,7.32043,2.625,1.2083333,0.08175403,
448,25.01987,5.5469537,2.5,1.265625,0.07239052,
449,24.508121,4.906657,2.625,1.30625,0.05,
450,35.777534,16.246027,3.142857,1.34375,0.0943856,
451,26.946486,6.5513663,2.625,1.3359375,0.09998658,
452,27.969913,5.798038,2.5555556,1.2824073,0.067855805,
453,30.152351,8.201438,2.6666667,1.1990741,0.10713952,
454,30.80365,7.3545403,2.6,1.1875,0.10821068,
455,30.604685,7.2447786,2.6,1.1875,0.10821068,
456,30.53963,6.9956193,2.6,1.2222222,0.116227254,
457,34.254627,9.0286665,2.8888888,1.2984567,0.15507762,
458,52.04825,16.919523,4.1666665,1.4483796,0.20984735,
459,31.148293,7.461212,2.7777777,1.2947531,0.14158824,
460,30.376625,7.760509,2.7777777,1.3518518,0.0925926,
461,27.448156,6.8238373,2.75,1.3940972,0.094541386,
